video_id,gloss
69241,book
7069,book
7068,book
7070,book
7099,book
7074,book
69302,drink
65539,drink
17710,drink
17733,drink
65540,drink
17734,drink
17711,drink
17712,drink
17713,drink
17709,drink
17720,drink
17721,drink
17722,drink
17723,drink
17724,drink
12328,computer
12312,computer
12311,computer
12338,computer
12313,computer
12314,computer
12315,computer
12316,computer
12317,computer
12318,computer
12319,computer
12320,computer
12326,computer
12327,computer
5728,before
5749,before
5750,before
5729,before
5730,before
65167,before
5731,before
5732,before
5733,before
5734,before
5727,before
5739,before
5740,before
5741,before
5742,before
5743,before
9848,chair
9869,chair
9849,chair
9850,chair
9851,chair
65328,chair
9854,chair
69345,go
24955,go
24956,go
24941,go
24960,go
24961,go
24962,go
65824,go
24973,go
24943,go
24946,go
24947,go
24940,go
24952,go
24954,go
11310,clothes
11330,clothes
11311,clothes
11313,clothes
11309,clothes
69534,who
63242,who
63226,who
63227,who
63228,who
63229,who
63230,who
63231,who
66778,who
63232,who
66779,who
63225,who
63236,who
63237,who
8929,candy
8916,candy
8917,candy
8918,candy
8919,candy
8920,candy
8921,candy
65298,candy
8924,candy
65299,candy
65300,candy
8915,candy
8925,candy
65415,cousin
13647,cousin
13648,cousin
13631,cousin
13632,cousin
13633,cousin
13634,cousin
13635,cousin
13636,cousin
13630,cousin
13640,cousin
13641,cousin
13642,cousin
13646,cousin
14882,deaf
14903,deaf
14883,deaf
14884,deaf
14885,deaf
14886,deaf
65445,deaf
14887,deaf
14888,deaf
14893,deaf
14894,deaf
21870,fine
21890,fine
21891,fine
21871,fine
21872,fine
21869,fine
21874,fine
21878,fine
21883,fine
69364,help
27221,help
27206,help
27207,help
27208,help
27209,help
65890,help
27213,help
27214,help
65891,help
65889,help
27215,help
27216,help
27217,help
69411,no
38525,no
38544,no
38527,no
38529,no
38530,no
38532,no
38533,no
66183,no
38524,no
38534,no
57948,thin
57949,thin
57934,thin
57953,thin
57935,thin
57936,thin
57937,thin
66606,thin
57939,thin
57940,thin
57941,thin
57942,thin
66607,thin
57933,thin
57943,thin
57947,thin
62175,walk
62159,walk
62160,walk
62163,walk
62164,walk
66743,walk
66742,walk
62158,walk
62168,walk
62169,walk
62170,walk
64211,year
64224,year
64210,year
64212,year
66818,year
64213,year
66816,year
64209,year
64219,year
64218,year
69546,yes
64287,yes
64284,yes
64291,yes
64292,yes
64293,yes
66820,yes
64280,yes
64300,yes
64281,yes
64288,yes
64283,yes
69206,all
2003,all
1987,all
1988,all
1991,all
1992,all
65043,all
1986,all
69236,black
6472,black
6473,black
6474,black
6476,black
6477,black
6478,black
65200,black
6471,black
6486,black
69281,cool
65403,cool
13213,cool
13197,cool
13216,cool
13217,cool
13198,cool
13199,cool
13200,cool
13201,cool
65402,cool
13202,cool
13203,cool
13196,cool
13208,cool
13209,cool
21942,finish
21943,finish
21944,finish
21945,finish
21949,finish
21950,finish
65721,finish
21941,finish
21951,finish
69368,hot
28125,hot
28108,hot
28109,hot
28110,hot
28111,hot
28112,hot
28115,hot
28116,hot
28107,hot
69389,like
