video_id,gloss,START,END
gs://sign-language-videos2/Top 50 Videos/69302.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/65539.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17710.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17733.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/65540.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17734.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17711.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17712.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17713.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17709.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17720.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17721.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17722.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17723.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/17724.mp4,drink,0,inf
gs://sign-language-videos2/Top 50 Videos/12328.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12312.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12311.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12338.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12313.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12314.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12315.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12316.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12317.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12318.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12319.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12320.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12326.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/12327.mp4,computer,0,inf
gs://sign-language-videos2/Top 50 Videos/05728.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05749.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05750.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05729.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05730.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/65167.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05731.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05732.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05733.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05734.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05727.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05739.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05740.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05741.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05742.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/05743.mp4,before,0,inf
gs://sign-language-videos2/Top 50 Videos/69345.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24955.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24956.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24941.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24960.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24961.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24962.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/65824.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24973.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24943.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24946.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24947.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24940.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24952.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/24954.mp4,go,0,inf
gs://sign-language-videos2/Top 50 Videos/69534.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63242.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63226.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63227.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63228.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63229.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63230.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63231.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/66778.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63232.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/66779.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63225.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63236.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/63237.mp4,who,0,inf
gs://sign-language-videos2/Top 50 Videos/08929.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/08916.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/08917.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/08918.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/08919.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/08920.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/08921.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/65298.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/08924.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/65299.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/65300.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/08915.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/08925.mp4,candy,0,inf
gs://sign-language-videos2/Top 50 Videos/65415.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13647.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13648.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13631.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13632.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13633.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13634.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13635.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13636.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13630.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13640.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13641.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13642.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/13646.mp4,cousin,0,inf
gs://sign-language-videos2/Top 50 Videos/14882.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/14903.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/14883.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/14884.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/14885.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/14886.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/65445.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/14887.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/14888.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/14893.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/14894.mp4,deaf,0,inf
gs://sign-language-videos2/Top 50 Videos/69364.mp4,help,0,inf
gs://sign-language-videos2/Top 50 Videos/27221.mp4,help,0,inf
gs://sign-language-videos2/Top 50 Videos/27206.mp4,help,0,inf
gs://sign-language-videos2/Top 50 Videos/27207.mp4,help,0,inf
gs://sign-language-videos2/Top 50 Videos/27208.mp4,help,0,inf
gs://sign-language-videos2/Top 50 Videos/27209.mp4,help,0,inf
gs://sign-language-videos2/Top 50 Videos/65890.mp4,help,0,inf
gs://sign-language-videos2/Top 50 Videos/27213.mp4,help,0,inf
gs://sign-language-videos2/Top 50 Videos/27214.mp4,help,0,inf
gs://sign-language-videos2/Top 50 Videos/65891.mp4,help,0,inf
