video_id,gloss,START,END
gs://sign-language-videos-100/Top 100 Videos Processed/69302_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/65539_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17710_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17733_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/65540_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17734_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17711_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17712_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17713_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17709_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17720_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17721_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17722_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17723_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/17724_processed.mp4,drink,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12328_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12312_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12311_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12338_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12313_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12314_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12315_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12316_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12317_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12318_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12319_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12320_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12326_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/12327_processed.mp4,computer,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05728_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05749_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05750_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05729_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05730_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/65167_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05731_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05732_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05733_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05734_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05727_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05739_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05740_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05741_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05742_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/05743_processed.mp4,before,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/69345_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24955_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24956_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24941_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24960_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24961_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24962_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/65824_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24973_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24943_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24946_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24947_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24940_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24952_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/24954_processed.mp4,go,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/69534_processed.mp4,who,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/63242_processed.mp4,who,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/63226_processed.mp4,who,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/63227_processed.mp4,who,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/63228_processed.mp4,who,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/63229_processed.mp4,who,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/63230_processed.mp4,who,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/63231_processed.mp4,who,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/66778_processed.mp4,who,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/63232_processed.mp4,who,0,inf
gs://sign-language-videos-100/Top 100 Videos Processed/66779_processed.mp4,who,0,inf
