video_id,gloss
69241,book
65225,book
68011,book
68208,book
68012,book
70212,book
70266,book
07085,book
07086,book
07087,book
07069,book
07088,book
07089,book
07090,book
07091,book
07092,book
07093,book
07068,book
07094,book
07095,book
07096,book
07097,book
07070,book
07098,book
07099,book
07071,book
07072,book
07073,book
67424,book
07074,book
07075,book
07076,book
07077,book
07078,book
07079,book
07080,book
07081,book
07082,book
07083,book
07084,book
69302,drink
65539,drink
70173,drink
68538,drink
68042,drink
68660,drink
68041,drink
17725,drink
17726,drink
17727,drink
17728,drink
17710,drink
17729,drink
17730,drink
17731,drink
17732,drink
17733,drink
65540,drink
17734,drink
17711,drink
17712,drink
17713,drink
17714,drink
17715,drink
17716,drink
17717,drink
17718,drink
17709,drink
67594,drink
17719,drink
17720,drink
17721,drink
17722,drink
17723,drink
17724,drink
12306,computer
68028,computer
69054,computer
12328,computer
12329,computer
12330,computer
12312,computer
12331,computer
12332,computer
12333,computer
12335,computer
12336,computer
12311,computer
12337,computer
12338,computer
12313,computer
12314,computer
12315,computer
12316,computer
12317,computer
12318,computer
12319,computer
12320,computer
67519,computer
12321,computer
12322,computer
12323,computer
12324,computer
12326,computer
12327,computer
05724,before
70348,before
68007,before
05744,before
05746,before
05728,before
05747,before
05748,before
05749,before
05750,before
05729,before
05730,before
65167,before
05731,before
05732,before
05733,before
05734,before
05735,before
05736,before
05727,before
05737,before
05739,before
05740,before
05741,before
05742,before
05743,before
09847,chair
70230,chair
68580,chair
70263,chair
68019,chair
09865,chair
09866,chair
09848,chair
09867,chair
09869,chair
09849,chair
09850,chair
09851,chair
65328,chair
09853,chair
09854,chair
09855,chair
09856,chair
67483,chair
09857,chair
09858,chair
09859,chair
09860,chair
09861,chair
09862,chair
09863,chair
24857,go
69345,go
68292,go
24955,go
24956,go
24941,go
24960,go
24961,go
24962,go
24965,go
24969,go
24970,go
24971,go
24972,go
65824,go
24973,go
24943,go
24946,go
24947,go
24948,go
24940,go
67715,go
24950,go
24951,go
24952,go
24954,go
11305,clothes
68870,clothes
68024,clothes
11327,clothes
11328,clothes
11310,clothes
11329,clothes
11330,clothes
11311,clothes
11312,clothes
11313,clothes
11314,clothes
11315,clothes
11309,clothes
11316,clothes
11317,clothes
11318,clothes
11319,clothes
11320,clothes
11321,clothes
11322,clothes
11323,clothes
11324,clothes
11325,clothes
11326,clothes
63219,who
69534,who
68890,who
68183,who
63239,who
63240,who
63241,who
63242,who
63226,who
63227,who
63228,who
63229,who
63230,who
63231,who
66778,who
63232,who
63233,who
63234,who
66779,who
66780,who
63225,who
67066,who
63236,who
63237,who
63238,who
08909,candy
68018,candy
70326,candy
68790,candy
08928,candy
08929,candy
08916,candy
08917,candy
08918,candy
08919,candy
08920,candy
08921,candy
08922,candy
08923,candy
65298,candy
08924,candy
65299,candy
65300,candy
08915,candy
67468,candy
67470,candy
08925,candy
08926,candy
08927,candy
65415,cousin
70332,cousin
68592,cousin
13647,cousin
13648,cousin
13631,cousin
13632,cousin
13633,cousin
13634,cousin
13635,cousin
13636,cousin
13637,cousin
13638,cousin
13630,cousin
13639,cousin
67535,cousin
13640,cousin
13641,cousin
13642,cousin
13643,cousin
13644,cousin
13645,cousin
13646,cousin
14855,deaf
70015,deaf
68586,deaf
68033,deaf
14899,deaf
14900,deaf
14882,deaf
14901,deaf
14903,deaf
14883,deaf
14884,deaf
14885,deaf
14886,deaf
65445,deaf
14887,deaf
14888,deaf
14889,deaf
14891,deaf
14893,deaf
14894,deaf
14895,deaf
14896,deaf
14898,deaf
65717,fine
70234,fine
68048,fine
21885,fine
21886,fine
21887,fine
21888,fine
21870,fine
21889,fine
21890,fine
21891,fine
21871,fine
21872,fine
21869,fine
21874,fine
21875,fine
21876,fine
21878,fine
67660,fine
67659,fine
21883,fine
21884,fine
27194,help
69364,help
27219,help
27220,help
27221,help
27206,help
27207,help
27208,help
27209,help
27210,help
27211,help
27212,help
65890,help
27213,help
27214,help
65891,help
65889,help
67757,help
27215,help
27216,help
27217,help
27218,help
38482,no
69411,no
68110,no
68406,no
38539,no
38540,no
38541,no
38542,no
38525,no
38544,no
38527,no
38529,no
38530,no
38531,no
38532,no
38533,no
66183,no
38524,no
67934,no
38534,no
38536,no
38538,no
57919,thin
57948,thin
57949,thin
57950,thin
57952,thin
57934,thin
57953,thin
57935,thin
57936,thin
57937,thin
66606,thin
57939,thin
57940,thin
57941,thin
57942,thin
66607,thin
57933,thin
67299,thin
57943,thin
57944,thin
57945,thin
57947,thin
62152,walk
68852,walk
68918,walk
68177,walk
62173,walk
62174,walk
62175,walk
62159,walk
62160,walk
62163,walk
62164,walk
62165,walk
66743,walk
62166,walk
66742,walk
62158,walk
67036,walk
62168,walk
62169,walk
62170,walk
62171,walk
62172,walk
64201,year
64211,year
68416,year
68190,year
